Month,Year,pcta
7,2013,0.967741935
8,2013,1.1
9,2013,0.909090909
10,2013,0.966666667
11,2013,1.034482759
12,2013,1.033333333
1,2014,1.032258065
2,2014,1
3,2014,1
4,2014,1.03125
5,2014,0.939393939
6,2014,1.064516129
7,2014,0.96969697
8,2014,0.9375
9,2014,0.966666667
10,2014,0.965517241
11,2014,1
12,2014,0.892857143
1,2015,1.12
2,2015,1.071428571
3,2015,0.866666667
4,2015,1.076923077
5,2015,0.964285714
6,2015,1.037037037
7,2015,1
8,2015,1
9,2015,0.964285714
10,2015,1
11,2015,0.962962963
12,2015,0.961538462
1,2016,1
2,2016,1.08
3,2016,1.037037037
4,2016,0.857142857
5,2016,1.083333333
6,2016,1.038461538
7,2016,0.925925926
8,2016,0.96
9,2016,1
10,2016,1
11,2016,0.916666667
12,2016,1.181818182
1,2017,1.038461538
2,2017,0.925925926
3,2017,1
4,2017,1.04
5,2017,1
6,2017,1
7,2017,1
8,2017,1.038461538
9,2017,0.888888889
10,2017,1.041666667
11,2017,1.08
12,2017,1
1,2018,1
2,2018,1.037037037
3,2018,0.964285714
4,2018,1.037037037
5,2018,1.071428571
6,2018,0.966666667
7,2018,1.034482759
8,2018,0.9
9,2018,1.074074074
10,2018,0.965517241
11,2018,0.964285714
12,2018,1
1,2019,0.962962963
2,2019,0.961538462
3,2019,1
4,2019,1.16
5,2019,0.931034483
6,2019,0.962962963
7,2019,1.038461538
8,2019,1.037037037
9,2019,0.892857143
10,2019,1
11,2019,0.92
12,2019,1.086956522
1,2020,0.96
2,2020,0.916666667
3,2020,0.954545455
4,2020,1.523809524
5,2020,0.9375
6,2020,1
7,2020,1.033333333
8,2020,0.838709677
9,2020,1
10,2020,1.076923077
11,2020,0.892857143
12,2020,1.2
1,2021,1.1
2,2021,0.939393939
3,2021,1.096774194
4,2021,1.352941176
5,2021,0.913043478
6,2021,1.119047619
7,2021,0.978723404
8,2021,1
9,2021,1.043478261
10,2021,1.020833333
11,2021,0.979591837
12,2021,1.020833333
1,2022,1
2,2022,1.102040816
3,2022,1
4,2022,0.981481481
5,2022,1
6,2022,0.981132075
7,2022,0.923076923
8,2022,0.979166667
9,2022,1.063829787
10,2022,1
11,2022,0.86
12,2022,0.906976744
1,2023,1.076923077
2,2023,0.857142857
3,2023,1.305555556
4,2023,0.893617021
5,2023,0.785714286
6,2023,1.03030303
7,2023,1.029411765
8,2023,0.914285714
9,2023,1.3125
10,2023,1.071428571
11,2023,0.688888889
12,2023,0.935483871
1,2024,1.034482759
