Date,NFP_SURP,NFP_12M,SP500_3M,SLOPE_3M,BCOM_3M,TR_SKEW
7/1/1997,-0.169565178,2.511406343,13.4329012,-0.141739927,-7.066067818,0.160069111
8/1/1997,-0.237580389,2.374291502,18.38421475,-0.351367849,-4.461698442,0.091858606
9/1/1997,0.215959938,2.374291502,6.355837132,-0.165310511,-5.980783958,0.071586527
10/1/1997,-0.113446845,2.602872632,6.541162087,-0.180777277,2.875671311,0.100496735
11/1/1997,-0.113446845,2.665036357,-4.247989057,-0.208288129,-0.574270922,0.0330269
12/1/1997,0.117102754,2.675005425,4.462782315,-0.564004449,-2.557055094,-0.026216964
1/1/1998,0.400942021,2.772754679,1.776762839,-0.425751942,-8.182584321,-0.04887716
2/1/1998,0.400942021,2.802391681,11.13426964,-0.251044876,-7.148987989,-0.076349785
3/1/1998,0.325205553,2.710439098,8.576974826,-0.050415018,-7.996810619,-0.008664581
4/1/1998,0.085423733,2.568559535,16.65714849,0.092239496,-3.234065485,0.046773985
5/1/1998,0.085423733,2.549646859,13.74053577,0.02945458,-3.89829314,0.104438997
6/1/1998,-0.062440135,2.645823121,4.492434019,-0.033346599,-4.897789723,0.112060899
7/1/1998,0.108077793,2.619759933,3.445401618,-0.171071016,-5.991345712,-0.041718675
8/1/1998,0.108077793,2.484435414,2.351949333,-0.142351761,-13.41124175,0.00480799
9/1/1998,-0.021454303,2.772258038,-13.05889765,-0.159309551,-10.56275113,-0.105527233
10/1/1998,-0.012896299,2.532104488,-11.2835855,-0.087832474,-2.906063345,-0.326750251
11/1/1998,-0.326160978,2.410907932,-3.951219925,0.212085109,3.506380595,-0.157465516
12/1/1998,-0.171426236,2.383896481,10.98364644,0.098913633,-0.509912746,-0.029220699
1/1/1999,0.161910806,2.416197242,15.85315276,0.228455213,-8.689199014,-0.112530797
2/1/1999,0.161910806,2.291540045,17.67543243,-0.264819813,-8.556038178,-0.109682644
3/1/1999,0.33324754,2.45019862,6.228794363,0.226019961,-6.007489789,-0.041689299
4/1/1999,0.00796699,2.422385306,4.78472369,0.464833943,7.6020146,0.148049741
5/1/1999,0.00796699,2.480032003,7.140155004,0.443738414,12.01904137,0.124553196
6/1/1999,,2.330280305,4.462701238,0.24612883,7.277936102,0.030288064
7/1/1999,0.062472034,2.357845552,4.662992638,0.173387892,4.442755912,0.223680537
8/1/1999,0.173719812,2.511554684,-1.656241398,0.33820691,1.167605637,0.198663898
9/1/1999,-0.253210527,2.363083276,1.41636982,0.104629039,13.80068209,0.105019897
10/1/1999,-0.525709068,2.360976044,-5.220305709,0.082223924,12.78560178,0.155401485
11/1/1999,-0.051403692,2.512519089,1.619883624,-0.101304856,5.888437693,0.138423199
12/1/1999,0.004970824,2.517886905,2.969698781,-0.047747718,4.806369236,0.140346786
1/1/2000,0.108969099,2.467827597,14.70194588,-0.138431353,-0.330748207,0.290386623
2/1/2000,0.208481521,2.560535699,7.267695824,-0.38255269,7.676841557,0.202021351
3/1/2000,-0.40029767,2.316884675,-3.64041723,-0.335089614,4.117667329,0.055945964
4/1/2000,0.014884975,2.594069363,2.37144954,-0.903051966,6.647334732,0.013757781
5/1/2000,-0.049257535,2.523945878,3.384867102,-0.570151038,0.226054296,0.122093897
6/1/2000,-0.372913571,2.523532067,5.242016038,-0.514021277,3.46124932,0.175367674
7/1/2000,-0.558619998,2.280815405,-3.639811873,-0.014644069,5.653408872,0.229837413
8/1/2000,-0.413801259,2.145704891,-2.354599871,-0.100248072,1.518557019,0.207919066
9/1/2000,-0.238723929,1.958019137,6.610358806,-0.167426067,3.681585921,0.146418832
10/1/2000,-0.022490401,1.958019137,-1.266557714,0.057305077,0.97893521,0.121779997
11/1/2000,-0.137724012,1.656229532,-0.099987188,0.017240142,2.739806738,0.082857174
12/1/2000,-0.145799643,1.588487643,-13.82050573,-0.021418913,4.476272609,0.072243696
1/1/2001,-0.049231612,1.467204563,-7.742906646,0.017706083,5.461747813,-0.130507818
2/1/2001,0.32427888,1.283225933,0.115004381,0.896313601,5.551437578,-0.161911661
3/1/2001,0.096387635,1.263331051,-6.435506386,0.918171877,-5.177135694,-0.072391772
4/1/2001,-0.350803325,0.867777948,-12.52766878,1.154284855,-6.628141495,-0.255288794
5/1/2001,-0.528303744,0.434289856,-8.294071976,0.859624899,-3.010445091,-0.20943439
6/1/2001,-0.010161653,0.179300323,-0.16867129,1.190750285,-3.908940492,-0.02444596
7/1/2001,-0.176873075,0.179300323,5.98158361,0.683170892,-2.714442535,-0.087030047
8/1/2001,-0.012159208,-0.043116654,-3.394426222,0.224353493,-6.360871514,-0.050296728
9/1/2001,-0.185401932,-0.161207959,-10.24079753,0.068498629,-2.577963896,-0.072067866
10/1/2001,-0.233215264,-0.43544016,-17.2597366,0.726629327,-7.520104594,-0.134159394
11/1/2001,-0.285454971,-0.682327404,-11.63036118,0.729925219,-10.60443527,-0.125637494
12/1/2001,-0.296402667,-1.070924152,-1.967443169,1.227948569,-8.8884628,-0.122247658
1/1/2002,-0.007701776,-1.3143963,11.96520052,0.756818537,-2.519707143,0.013436539
2/1/2002,-0.134618113,-1.557384887,2.290224678,0.399243997,0.42132243,0.091975019
3/1/2002,0.086110011,-1.557384887,-3.864781725,0.005940856,5.074719608,0.134532775
4/1/2002,-0.03262735,-1.540226218,0.218123524,-0.230772389,12.07743331,0.096440846
5/1/2002,-0.082658667,-1.400399969,-5.101095306,-0.099656681,15.48821116,0.12651697
6/1/2002,-0.101416924,-1.351140722,-3.927873808,-0.047205131,7.181225982,0.194441222
7/1/2002,-0.138913772,-1.236649318,-14.52698823,0.045110346,0.129067702,0.135632476
